Driver_tag,Timestamp,A_z,Lane_Change,No_Of_Veh,Dist_Veh,GPS,X_pos,Target,Vehicle_Flag,norm_avail,accr_avail,brek_avail,llc_avail,rlc_avail
11,14,-1.0535,0,0,999,83.05,0.3,2,0,1,1,1,1,1
11,17,-0.2058,0,0,999,85.51111111,-0.853,2,0,1,1,1,1,1
11,23,0.0196,0,1,15.08,86.77777778,0.517,0,1,1,1,1,1,1
11,26,0.069688889,0,2,17.17,84.7875,0.58,1,1,1,1,1,1,1
11,28,-0.08232,0,3,17.64,84.9,0.623,2,1,1,1,1,1,1
11,32,0.30968,0,4,20.08,84.3625,-0.192,1,1,1,1,1,1,1
11,35,-0.11074,0,2,15.7,91.84444444,0.474,2,1,1,1,1,1,1
11,36,-0.12348,0,2,16.27,94.13333333,0.301,2,1,1,1,1,1,1
11,37,-0.03234,0,2,17.48,95.4,0.119,0,1,1,1,1,1,1
11,38,-1.70E-18,0,2,20.95,96.2,-0.1,0,1,1,1,1,1,1
11,40,0.138288889,0,1,22.09,98.08888889,-0.07,1,1,1,1,1,1,1
11,41,0.05194,0,1,22.88,99.22222222,-0.27,0,1,1,1,1,1,1
11,42,-0.0147,0,1,23.41,100.925,-0.26,0,1,1,1,1,1,1
11,43,-0.13328,0,1,23.69,102.8,-0.19,2,1,1,1,1,1,1
11,45,-0.08526,0,1,22.63,104.96,-0.23,2,1,1,1,1,1,1
11,46,0.14994,0,1,22.53,104.52,-0.193,1,1,1,1,1,1,1
11,47,0.14014,0,2,22.89,104.2,-0.149,1,1,1,1,1,1,1
11,48,-0.07742,0,2,22.84,105.4333333,-0.189,2,1,1,1,1,1,1
11,50,-0.1813,0,2,23.82,107,-0.19,2,1,1,1,1,1,1
11,51,0.15288,0,2,19.34,106.8444444,-0.16,1,1,1,1,1,1,1
11,53,0.278854545,0,2,14.5,106.8,-0.655,1,1,1,1,1,1,1
11,54,0.16562,-1,2,13.42,108.4375,0,3,1,1,1,1,1,1
11,55,-0.119777778,0,1,999,110.1,0.339,2,0,1,1,1,1,1
11,58,-0.11172,0,0,999,114.6777778,-0.118,2,0,1,1,1,1,1
11,59,-0.11956,0,0,999,115.425,-0.129,2,0,1,1,1,1,1
11,61,-0.01764,0,0,999,116.75,-0.03,0,0,1,1,1,1,1
11,65,-0.0931,0,0,999,118.6111111,0,2,0,1,1,1,1,1
11,66,-0.18522,0,1,199.94,119.025,-0.01,2,1,1,1,1,1,1
11,67,-0.15092,0,1,199.46,119.0444444,0.069,2,1,1,1,1,1,1
11,68,0.07546,0,2,198.96,118.375,0.07,1,1,1,1,1,1,1
11,69,0.08428,0,2,173.62,117.4111111,0.069,1,1,1,1,1,1,1
11,70,0.016333333,0,2,999,117.1,0.04,0,0,1,1,1,1,1
11,72,-0.01372,0,1,999,116.3875,0.03,0,0,1,1,1,1,1
11,73,0.0441,0,1,999,116.2857143,0.04,0,0,1,1,1,1,1
11,74,0.11466,0,1,999,116.2571429,0.1,1,0,1,1,1,1,1
11,76,-0.04312,0,0,999,117.1375,-0.135,0,0,1,1,1,1,1
11,77,-0.2303,0,1,999,116.6444444,-0.147,2,0,1,1,1,1,1
11,80,0.07742,0,1,21.65,114.1,1.124,1,1,1,1,1,1,1
11,82,0.098,0,1,999,113.3,0,1,0,1,1,1,1,1
11,83,0.04018,0,1,999,113.2777778,0,0,0,1,1,1,1,1
11,84,-0.0392,0,1,999,113.1777778,-0.203,0,0,1,1,1,1,1
11,88,-0.00294,0,1,99.65,109.575,0.29,0,1,1,1,1,1,1
11,89,0.09702,0,1,102.97,109.3,0.362,1,1,1,1,1,1,1
11,90,0.0833,0,1,101.72,108.6,0.38,1,1,1,1,1,1,1
11,93,0.30184,0,1,155.43,107.1125,0.07,1,1,1,1,1,1,1
11,94,0.19306,0,2,86.85,108.0571429,-0.319,1,1,1,1,1,1,1
11,95,0.11956,-1,2,6.84,109.1,0,3,1,1,1,1,1,1
11,97,-0.16072,0,1,9.84,112.0222222,0.716,2,1,1,1,1,1,1
11,98,-0.05978,0,1,11.77,112.1888889,0.341,0,1,1,1,1,1,1
11,100,0.07056,0,1,15.35,112.8222222,0.32,1,1,1,1,1,1,1
11,107,-0.0588,0,1,999,114.4875,0.232,0,0,1,1,1,1,1
11,109,0.0147,0,1,999,114.175,0.201,0,0,1,1,1,1,1
11,110,0.0343,0,2,999,112.6375,0.15,0,0,1,1,1,1,1
11,111,0.03234,0,2,999,112.95,0.161,0,0,1,1,1,1,1
11,112,0.02548,0,2,999,113.3,0.17,0,0,1,1,1,1,1
11,113,0.11662,0,2,999,113.3,0.01,1,0,1,1,1,1,1
11,117,-0.13622,0,1,999,115.2222222,0.12,2,0,1,1,1,1,1
11,118,-0.06762,0,1,999,116.2875,0.11,0,0,1,1,1,1,1
11,120,-0.064244444,0,1,999,117.5,0.15,0,0,1,1,1,1,1
11,121,-0.09114,0,1,999,117.85,0.14,2,0,1,1,1,1,1
11,123,-0.06076,0,2,999,118.0375,-0.01,0,0,1,1,1,1,1
11,124,-0.03724,0,2,999,118.3444444,-0.07,0,0,1,1,1,1,1
11,126,-0.01078,0,2,999,117.7875,-0.03,0,0,1,1,1,1,1
11,127,0.04508,0,2,999,118.4125,0.03,0,0,1,1,1,1,1
11,128,-0.0931,0,2,68.92,118.5125,0.15,2,1,1,1,1,1,1
11,129,-0.0294,0,2,72.02,118.475,0.2,0,1,1,1,1,1,1
11,130,-0.09016,0,2,78.83,117.6,0.099,2,1,1,1,1,1,1
11,136,-0.0196,0,1,999,117.9,-0.692,0,0,1,1,1,1,1
11,137,-0.047911111,-1,2,74.82,118.0625,0,3,1,1,1,1,1,1
11,138,-0.0147,0,2,66.27,119.1625,0.39,0,1,1,1,1,1,1
11,139,0.00882,0,2,104.41,119,0.664,0,1,1,1,1,1,1
11,140,-0.074044444,0,2,101.55,119.85,0.379,0,1,1,1,1,1,1
11,141,-0.03528,0,1,98.1,120.3375,-0.01,0,1,1,1,1,1,1
11,142,-0.06566,0,1,95.58,121.4125,-0.078,0,1,1,1,1,1,1
11,143,-0.0539,0,1,100.7,122.15,-0.08,0,1,1,1,1,1,1
11,144,-0.03626,0,1,107.4,121.9,0,0,1,1,1,1,1,1
11,146,-0.07252,0,1,125.62,122.5625,-0.07,0,1,1,1,1,1,1
11,147,-0.0686,0,1,108.83,122.4428571,0.02,0,1,1,1,1,1,1
11,150,-0.11662,0,1,79.71,123.7,0.201,2,1,1,1,1,1,1
11,151,-0.21266,0,1,75.86,123.225,0.15,2,1,1,1,1,1,1
11,152,-0.01666,0,1,63.04,122.7,0.04,0,1,1,1,1,1,1
11,154,-0.05978,0,1,43.15,120.3875,0.131,0,1,1,1,1,1,1
11,155,-0.01764,0,2,38.25,119.7571429,0.161,0,1,1,1,1,1,1
11,156,0.01764,0,2,32.03,120.425,0.22,0,1,1,1,1,1,1
11,158,0.12446,0,2,24.37,116.975,0.05,1,1,1,1,1,1,1
11,159,0.06174,0,2,23.56,117.5125,0.05,0,1,1,1,1,1,1
11,160,0.004355556,0,2,23.33,117.6,-0.149,0,1,1,1,1,1,1
11,163,-0.0686,-1,2,22.24,118.5,0,3,1,1,1,1,1,1
11,165,0.053355556,0,2,24.16,117.9,0.06,0,1,1,1,1,1,1
11,166,-0.03724,0,2,27.64,119.1857143,0.01,0,1,1,1,1,1,1
11,167,-0.0441,0,2,32.98,118.6,-0.01,0,1,1,1,1,1,1
11,171,-0.04606,0,2,63.41,120.8,0.01,0,1,1,1,1,1,1
11,176,-0.08232,0,1,74.48,122.075,0,2,1,1,1,1,1,1
11,177,-0.02548,0,2,77.31,121.9,-0.282,0,1,1,1,1,1,1
11,180,0.08428,0,2,60.04,120.6,-0.149,1,1,1,1,1,1,1
11,182,-0.04116,0,1,71.18,121.1,-0.099,0,1,1,1,1,1,1
11,185,0.01568,0,1,999,120.4125,0.04,0,0,1,1,1,1,1
11,187,0.07448,0,1,999,119.4,0.13,1,0,1,1,1,1,1
11,190,-0.076222222,0,1,999,120.7,0.03,2,0,1,1,1,1,1
11,192,0.044644444,0,1,999,119.7,0.08,0,0,1,1,1,1,1
11,194,-0.06076,0,1,999,120.2,0.06,0,0,1,1,1,1,1
11,196,-0.03234,0,1,999,120.5,-0.06,0,0,1,1,1,1,1
11,198,0.01176,0,2,141.44,119.4875,-0.07,0,1,1,1,1,1,1
11,200,-0.00784,0,1,999,119.9111111,0.02,0,0,1,1,1,1,1
11,201,-0.01372,0,1,999,120.2875,-0.03,0,0,1,1,1,1,1
11,202,0.01568,0,1,999,120.275,-0.061,0,0,1,1,1,1,1
11,203,0.1372,0,1,999,120.7555556,-0.209,1,0,1,1,1,1,1
11,205,-0.06566,0,1,999,122.1,-0.428,0,0,1,1,1,1,1
11,207,-0.13916,0,0,999,122.56,0.29,2,0,1,1,1,1,1
11,208,-0.0294,0,0,999,122.175,0.39,0,0,1,1,1,1,1
11,209,-0.01568,0,0,999,122.6125,0.191,0,0,1,1,1,1,1
11,211,-0.09408,0,0,999,121.3333333,0.06,2,0,1,1,1,1,1
11,212,-0.03038,0,0,999,122.2125,0,0,0,1,1,1,1,1
11,214,0.10094,0,1,999,121.1,-0.09,1,0,1,1,1,1,1
11,215,0.07938,0,1,999,120.925,-0.03,1,0,1,1,1,1,1
11,216,0.08624,0,1,999,121.1,0.04,1,0,1,1,1,1,1
11,217,0.09212,0,2,999,121.1375,0.03,1,0,1,1,1,1,1
11,219,0.007622222,0,1,999,122.4857143,0.09,0,0,1,1,1,1,1
11,220,0.06076,0,1,999,123.6,0.161,0,0,1,1,1,1,1
11,221,-0.07252,0,1,999,123.1428571,0.12,0,0,1,1,1,1,1
11,223,-0.00294,0,1,999,123.3,-0.02,0,0,1,1,1,1,1
11,224,-0.14504,0,1,999,123.3375,-0.04,2,0,1,1,1,1,1
11,225,-0.12936,0,0,999,123.2857143,-0.06,2,0,1,1,1,1,1
11,226,0.147,0,0,999,121.4,-0.03,1,0,1,1,1,1,1
11,227,0.03332,0,0,999,122.7571429,-0.02,0,0,1,1,1,1,1
11,228,-0.09212,0,0,999,122.5428571,-0.02,2,0,1,1,1,1,1
11,230,-0.049,0,1,115,121.4714286,-0.118,0,1,1,1,1,1,1
11,231,-0.10682,0,1,110.45,120.6285714,-0.17,2,1,1,1,1,1,1
11,232,-0.19208,0,2,90,120.0571429,-0.2,2,1,1,1,1,1,1
11,233,0.01764,0,2,70.41,119.1,-0.253,0,1,1,1,1,1,1
11,235,-0.0049,0,1,39.24,117.4,-0.242,0,1,1,1,1,1,1
11,238,0.28224,0,1,26.36,114.7714286,-0.1,1,1,1,1,1,1,1
11,239,0.20776,0,1,25.42,114.0857143,-0.11,1,1,1,1,1,1,1
11,242,0.03528,0,1,999,116.6714286,0.119,0,0,1,1,1,1,1
11,243,0.04116,0,1,999,117.9,0.19,0,0,1,1,1,1,1
11,246,-0.02548,0,2,999,121,0.1,0,0,1,1,1,1,1
11,248,-0.10094,0,1,999,122,-0.181,2,0,1,1,1,1,1
11,251,-0.08526,0,0,999,122.7714286,-0.04,2,0,1,1,1,1,1
11,252,-0.13818,0,0,999,122.6,0.04,2,0,1,1,1,1,1
11,253,-0.04116,0,0,999,122.9,0.37,0,0,1,1,1,1,1
11,254,-0.01176,0,1,999,123.4714286,1.103,0,0,1,1,1,1,1
11,255,-0.01568,1,1,999,122.5,1.496,4,0,1,1,1,1,1
11,256,0.01862,0,1,999,121.3857143,0,0,0,1,1,1,1,1
11,258,-0.01862,0,0,999,121.9875,0,0,0,1,1,1,1,1
11,259,-0.13622,0,0,999,121.9,-0.199,2,0,1,1,1,1,1
11,261,-0.27146,0,1,71.89,120.6428571,-0.1,2,1,1,1,1,1,1
11,262,-0.07742,0,1,71.42,118.9,0.04,2,1,1,1,1,1,1
11,263,-0.00392,0,1,69.71,117.5142857,0.101,0,1,1,1,1,1,1
11,267,0.0245,0,1,71.53,115.2,0.02,0,1,1,1,1,1,1
11,268,-0.0196,0,2,54.66,115.775,0,0,1,1,1,1,1,1
11,269,-0.11368,0,2,43.14,115.6,-0.423,2,1,1,1,1,1,1
11,270,-0.0637,-1,2,36.75,116.3,0,3,1,1,1,1,1,1
11,271,-0.11466,0,2,36.87,114.9,0,2,1,1,1,1,1,1
11,272,0.01176,0,2,30.9,114.3,0.23,0,1,1,1,1,1,1
11,273,-0.07546,0,2,29.94,113,0.111,2,1,1,1,1,1,1
11,275,0.07056,0,2,31.09,111.9,0.01,1,1,1,1,1,1,1
11,276,0.06566,0,2,32,111.8142857,0,1,1,1,1,1,1,1
11,278,0.09016,0,1,30.71,111.5,-0.07,1,1,1,1,1,1,1
11,279,0.0294,0,1,30.18,112.475,-0.12,0,1,1,1,1,1,1
11,282,-0.03528,0,3,26.72,112.0833333,-0.05,0,1,1,1,1,1,1
11,283,-0.13328,0,2,26.62,111.8857143,0.03,2,1,1,1,1,1,1
11,285,0.02744,0,2,26.96,110.6571429,-0.03,0,1,1,1,1,1,1
11,286,0.03724,0,2,30.59,110.4,-0.09,0,1,1,1,1,1,1
11,289,0.02842,0,2,29.38,110.7571429,-0.21,0,1,1,1,1,1,1
11,290,0.076222222,0,2,31.17,110.5,-0.261,1,1,1,1,1,1,1
11,292,-0.08036,0,2,32.47,111.4,-0.08,2,1,1,1,1,1,1
11,294,-0.06566,0,1,34.87,112.025,-0.179,0,1,1,1,1,1,1
11,295,0.00882,0,1,36.29,112.2,-0.08,0,1,1,1,1,1,1
11,297,0.01274,0,2,37.06,111.8428571,-0.271,0,1,1,1,1,1,1
11,300,-0.104236364,0,2,999,110.7571429,0.02,2,0,1,1,1,1,1
11,302,-0.0049,1,1,999,109.2571429,1.457,4,0,1,1,1,1,1
11,303,-0.02156,0,1,31.83,108.325,0,0,1,1,1,1,1,1
11,304,-0.06762,0,1,30.33,108.0142857,0,0,1,1,1,1,1,1
11,305,-0.00294,0,1,30.21,107.375,0.05,0,1,1,1,1,1,1
11,306,0.1519,0,1,30.07,106.55,-0.01,1,1,1,1,1,1,1
11,308,-0.03822,0,1,29.12,107.55,0.02,0,1,1,1,1,1,1
11,312,-0.12054,0,1,28.65,106.8625,0.14,2,1,1,1,1,1,1
11,313,0.13818,0,1,27.65,105.9285714,0.241,1,1,1,1,1,1,1
11,315,0.05782,0,1,26.94,106.3,0.329,0,1,1,1,1,1,1
11,317,0.01274,0,1,28.36,104.7,0.492,0,1,1,1,1,1,1
11,318,-0.0294,0,1,28.67,104.4625,0.4,0,1,1,1,1,1,1
11,319,0.00686,0,1,31.05,104.2,0.444,0,1,1,1,1,1,1
11,321,-0.00098,0,1,32.61,104.2125,0.179,0,1,1,1,1,1,1
11,322,-0.03822,0,1,36.21,103.6,0.01,0,1,1,1,1,1,1
11,324,0.049,0,1,38.59,103.675,0.301,0,1,1,1,1,1,1
11,326,0.0294,0,1,43.49,103.8,0.201,0,1,1,1,1,1,1
11,327,0.03724,0,1,44.85,103.2,0.235,0,1,1,1,1,1,1
11,329,0.0196,0,1,47.97,104.4,0.319,0,1,1,1,1,1,1
11,330,0.03724,0,1,50.8,105,0.381,0,1,1,1,1,1,1
11,331,0.06272,0,1,51.38,105.3,0.211,0,1,1,1,1,1,1
11,333,-0.02744,0,2,50.36,106.3,0.132,0,1,1,1,1,1,1
11,334,-0.13328,0,2,52.59,107.3142857,-0.02,2,1,1,1,1,1,1
11,335,0.00098,0,2,54.27,107.4,-0.08,0,1,1,1,1,1,1
11,336,-0.00588,0,2,52.76,107.9571429,-0.15,0,1,1,1,1,1,1
11,338,0.06272,0,1,53.86,108.6875,-0.14,0,1,1,1,1,1,1
11,341,-0.165511111,0,1,52.95,109.8,-0.07,2,1,1,1,1,1,1
11,343,0.12544,0,1,54.18,109.575,-0.08,1,1,1,1,1,1,1
11,344,0.05096,0,1,54.84,109.525,-0.06,0,1,1,1,1,1,1
11,345,-0.00784,0,1,999,110.4428571,0.01,0,0,1,1,1,1,1
11,346,-0.10192,0,2,61.74,110.7285714,0.15,2,1,1,1,1,1,1
11,350,0.0245,0,2,79.3,112.5,0.43,0,1,1,1,1,1,1
11,351,0.0735,0,2,76.96,113.2375,0.389,1,1,1,1,1,1,1
11,352,0.03528,0,2,78.54,113.675,0.31,0,1,1,1,1,1,1
11,353,-0.15974,0,2,70.29,114.9,0.271,2,1,1,1,1,1,1
11,354,-0.02646,0,2,70.05,115.2625,0.27,0,1,1,1,1,1,1
11,355,0.05684,0,2,67.37,115.7,0.17,0,1,1,1,1,1,1
11,356,-0.3038,0,2,65.66,115.7625,0.1,2,1,1,1,1,1,1
11,358,0.047911111,0,1,62.77,115.1428571,0.294,0,1,1,1,1,1,1
11,359,0.08722,0,1,57.38,114.9,0.34,1,1,1,1,1,1,1
11,360,-0.114333333,0,1,53.78,115.5,0.19,2,1,1,1,1,1,1
11,362,-0.02156,0,2,45.08,114.6166667,0.02,0,1,1,1,1,1,1
11,363,-0.15974,0,2,42.27,114.0428571,0.09,2,1,1,1,1,1,1
11,364,-0.03136,0,1,42.12,112.9285714,0.181,0,1,1,1,1,1,1
11,365,0.12642,0,1,40.52,111.6714286,0.12,1,1,1,1,1,1,1
11,368,-0.28028,0,3,42.36,109.1285714,0.28,2,1,1,1,1,1,1
11,369,-0.0147,0,3,47.34,105.3,0.937,0,1,1,1,1,1,1
11,371,0.0686,0,3,39.14,100.7428571,0.36,1,1,1,1,1,1,1
11,372,0.16856,0,3,37.44,98.42857143,0.529,1,1,1,1,1,1,1
11,373,0.14308,0,3,30.69,96.9,1.282,1,1,1,1,1,1,1
11,377,0.01274,0,2,23.39,95.62222222,-0.139,0,1,1,1,1,1,1
11,378,0.05684,0,2,23.72,96.6,-0.08,0,1,1,1,1,1,1
11,381,-0.05096,0,2,22.65,99.175,0.03,0,1,1,1,1,1,1
11,383,-0.05978,0,1,21.94,97.5625,0.08,0,1,1,1,1,1,1
11,387,0.09996,0,2,19.28,95.0875,-0.11,1,1,1,1,1,1,1
11,388,0.08624,0,3,18.51,94.74285714,-0.11,1,1,1,1,1,1,1
11,389,0.15876,0,3,18.39,93.45714286,-0.1,1,1,1,1,1,1,1
11,390,0.109977778,0,4,18.5,95,-0.09,1,1,1,1,1,1,1
11,391,-0.10682,0,3,18.54,94.725,-0.05,2,1,1,1,1,1,1
11,395,-0.65072,0,2,16.85,90.32857143,0.13,2,1,1,1,1,1,1
11,396,0.24696,0,3,16.71,89.8875,0,1,1,1,1,1,1,1
11,398,-0.19796,0,3,17.08,83.8,-0.12,2,1,1,1,1,1,1
11,399,0.20482,0,2,17.25,81.3,0,1,1,1,1,1,1,1
11,401,-0.0098,0,1,17.98,76.1375,0.491,0,1,1,1,1,1,1
11,402,-0.0343,0,1,18.64,74.88571429,0.848,0,1,1,1,1,1,1
11,404,-0.26852,0,1,16.82,72.98571429,0.15,2,1,1,1,1,1,1
11,406,-0.27048,0,1,999,72,0,2,0,1,1,1,1,1
11,408,0.06958,0,1,21.77,70.71666667,0.46,1,1,1,1,1,1,1
11,409,0.07742,0,1,24.31,70.8,0.413,1,1,1,1,1,1,1
11,410,0.131755556,0,2,26.51,71.1,0,1,1,1,1,1,1,1
11,411,0.07154,1,2,29.09,71.5,1.078,4,1,1,1,1,1,1
11,412,-0.735,0,2,10.64,72.46666667,0,2,1,1,1,1,1,1
11,413,-0.93492,0,1,10.84,71.92,0,2,1,1,1,1,1,1
11,415,0.27244,0,1,11.09,67,-0.06,1,1,1,1,1,1,1
11,421,-0.0588,0,1,15.05,67.3,-0.318,0,1,1,1,1,1,1
11,422,-0.16562,0,1,15.21,67.62,-0.387,2,1,1,1,1,1,1
11,425,-0.28714,0,1,14.78,67.55,-0.409,2,1,1,1,1,1,1
11,426,-0.32046,0,2,15.19,67.4,-0.08,2,1,1,1,1,1,1
11,428,0.16954,0,2,16.66,64,0.07,1,1,1,1,1,1,1
11,429,0.07742,0,2,18.28,65.4,0.07,1,1,1,1,1,1,1
11,433,0.06566,0,2,58.38,71.8,0.14,1,1,1,1,1,1,1
11,435,-0.26558,0,2,57.89,75.7,-0.05,2,1,1,1,1,1,1
11,436,-0.40866,0,2,71.01,78.1,-0.03,2,1,1,1,1,1,1
11,437,-0.11662,0,1,999,78,0.129,2,0,1,1,1,1,1
11,438,-0.43414,0,1,100.34,77.7,0.2,2,1,1,1,1,1,1
11,449,-0.80752,0,1,19.51,56.9,-0.14,2,1,1,1,1,1,1
11,453,-0.18424,0,1,999,61.5,0,2,0,1,1,1,1,1
11,455,0.06076,0,0,999,66.6,0.132,0,0,1,1,1,1,1
11,456,0.00882,0,0,999,70.5,0.39,0,0,1,1,1,1,1
11,458,0.12054,0,0,999,76.3,0.512,1,0,1,1,1,1,1
11,459,-0.01862,0,0,999,80.9,0.161,0,0,1,1,1,1,1
11,460,-0.184022222,0,0,999,83.7,-0.03,2,0,1,1,1,1,1
11,463,-0.2401,0,0,999,92.9,-0.131,2,0,1,1,1,1,1
11,464,-0.17738,0,0,999,94.1,-0.101,2,0,1,1,1,1,1
11,465,-0.10976,0,0,999,96,-0.229,2,0,1,1,1,1,1
11,466,-0.1666,0,0,999,97.2,-0.331,2,0,1,1,1,1,1
11,467,-0.16954,0,0,999,97.9,0.156,2,0,1,1,1,1,1
11,468,-0.10584,0,0,999,99.2,-0.321,2,0,1,1,1,1,1
11,469,-0.30478,0,0,999,99.1,-0.24,2,0,1,1,1,1,1
11,470,-0.196,0,0,999,99.3,-0.43,2,0,1,1,1,1,1
11,472,-0.07056,0,0,999,95.9,-0.51,0,0,1,1,1,1,1
11,473,0.05194,0,0,999,95.1,-0.622,0,0,1,1,1,1,1
11,474,0.0049,0,1,999,92.1,-0.568,0,0,1,1,1,1,1
11,478,0.18718,0,2,71.65,89.7,-0.159,1,1,1,1,1,1,1
11,479,0.40376,0,2,71.54,89,-0.614,1,1,1,1,1,1,1
11,480,0.160475,-1,2,999,89.4,0.46,3,0,1,1,1,1,1
11,481,0.10682,0,2,12.51,90.7,0.433,1,1,1,1,1,1,1
11,482,0.18914,0,1,11.04,91,-0.198,1,1,1,1,1,1,1
11,483,0.24402,-1,2,57.51,93.1,0,3,1,1,1,1,1,1
11,484,0.21854,0,2,999,95.2,0.061,1,0,1,1,1,1,1
11,485,-0.01764,0,1,999,97.4,0.305,0,0,1,1,1,1,1
11,486,-0.05292,0,1,999,100,0.29,0,0,1,1,1,1,1
11,488,-0.06566,0,1,999,106.3,0.359,0,0,1,1,1,1,1
11,489,-0.1029,0,1,999,107.8,0.342,2,0,1,1,1,1,1
11,490,0.003266667,0,1,999,109.5,0.19,0,0,1,1,1,1,1
11,492,0.03822,0,1,999,112.8,-0.06,0,0,1,1,1,1,1
11,493,0.02156,0,1,999,113.7,-0.12,0,0,1,1,1,1,1
11,494,-0.0735,0,0,999,115,-0.14,0,0,1,1,1,1,1
11,495,-0.02156,0,0,999,116.2,-0.11,0,0,1,1,1,1,1
11,496,-0.06468,0,0,999,117.2,-0.06,0,0,1,1,1,1,1
11,498,0.00294,0,0,999,118.2666667,1.169,0,0,1,1,1,1,1
11,499,-0.02352,1,0,999,117.1,1.523,4,0,1,1,1,1,1
11,500,-0.084933333,0,0,999,118.2,0,2,0,1,1,1,1,1
11,501,-0.0245,0,0,999,118.3,0,0,0,1,1,1,1,1
11,502,0.01666,0,0,999,119.7,0.03,0,0,1,1,1,1,1
11,503,0.02744,0,0,999,119.075,0.17,0,0,1,1,1,1,1
11,505,-0.06174,0,0,999,119.3,0,0,0,1,1,1,1,1
