Timestamp,A_x,A_y,A_z,Speed,Lane_Change,No_Of_Veh,Dist_Veh,GPS,X_pos,Phi_angle,Road_width,Target,Driver_tag,Vehicle_Flag,norm_avail,accr_avail,brek_avail,llc_avail,rlc_avail
59,0.0031,-0.0141,-0.11956,115.8,0,0,999,115.425,-0.129,0.066,3.241,2,11,0,1,1,1,1,1
313,-0.0112,-0.0218,0.13818,106.1,0,1,27.65,105.9285714,0.241,0.109,3.063,1,11,1,1,1,1,1,1
318,-0.0139,0.0049,-0.0294,104.2,0,1,28.67,104.4625,0.4,0.004,3.331,0,11,1,1,1,1,1,1
698,0.0052,0.0005,0.05978,109.5,0,1,38.84,109.9,-0.232,0.107,3.312,0,11,1,1,1,1,1,1
665,-0.012,-0.0018,0.03234,118.1,0,0,999,117.9,-0.16,0.121,3.365,0,11,0,1,1,1,1,1
503,-0.0168,-0.0079,0.02744,118.7,0,0,999,119.075,0.17,0.087,3.294,0,11,0,1,1,1,1,1
521,-0.0024,-0.0245,0.02352,123.7,0,0,999,123.7,-0.149,0.099,3.223,0,11,0,1,1,1,1,1
17,-0.0099,0.0074,-0.2058,85.6,0,0,999,85.51111111,-0.853,-0.002,3.456,2,11,0,1,1,1,1,1
479,-0.002,0.0072,0.40376,89.4,0,2,71.54,89,-0.614,-0.059,3.505,1,11,1,1,1,1,1,1
861,-0.007666667,0.000555556,0.123044444,76.2,0,1,57.7,77.5,0.03,0.12,3.174,1,11,1,1,1,1,1,1
765,-0.0136,0.0033,-0.22736,111.1,0,1,27.62,110.5,0.192,0.047,3.275,2,11,1,1,1,1,1,1
783,-0.0146,-0.0177,-0.343,107.2,0,1,999,109.2,0,0.054,3.286,2,11,0,1,1,1,1,1
535,-0.0044,-0.0237,-0.25382,131.3,0,1,999,129.5,-0.328,0.162,3.257,2,11,0,1,1,1,1,1
387,-0.0138,0.0077,0.09996,95,0,2,19.28,95.0875,-0.11,0.042,3.144,1,11,1,1,1,1,1,1
572,-0.0175,-0.0456,0.16366,116.6,0,1,25.53,115.2,-0.45,0.042,3.301,1,11,1,1,1,1,1,1
308,-0.0179,-0.0045,-0.03822,107.9,0,1,29.12,107.55,0.02,0.078,3.054,0,11,1,1,1,1,1,1
868,-0.009,-0.0055,0.02842,61.7,0,1,22.25,63.7,0.283,0.042,3.637,0,11,1,1,1,1,1,1
616,-0.0173,0.0551,0.04018,121.6,-1,1,999,122.1,0.32,0.076,6.546,3,11,0,1,1,1,1,1
655,-0.0132,0.0016,0.04116,120.8,0,0,999,121.2,-0.486,0.124,3.271,0,11,0,1,1,1,1,1
351,0.0071,0.0269,0.0735,113.5,0,2,76.96,113.2375,0.389,-0.006,3.266,1,11,1,1,1,1,1,1
