Timestamp,A_x,A_y,A_z,Speed,Lane_Change,No_Of_Veh,Dist_Veh,GPS,X_pos,Phi_angle,Road_width,Target,Driver_tag,Vehicle_Flag,norm_avail,accr_avail,brek_avail,llc_avail,rlc_avail
12,-0.016099999999999996,-0.0209,-0.0833,78.8,0.0,0.0,999.0,77.8,0.0,-0.0,3.5,2,11,0.0,1,1,1,1,1
13,-0.013799999999999998,-0.0032,-0.32046,82.7,0.0,0.0,999.0,79.28750000000001,0.0,-0.0,3.5,2,11,0.0,1,1,1,1,1
14,-0.004399999999999999,-0.0149,-1.0535,85.5,0.0,0.0,999.0,83.05,0.3,0.047,3.5,2,11,0.0,1,1,1,1,1
15,-0.0014999999999999996,-0.0042,-0.5938800000000001,85.7,0.0,0.0,999.0,85.54,0.178,-0.008,3.084,2,11,0.0,1,1,1,1,1
16,0.014700000000000001,-0.014400000000000001,-0.19306000000000004,85.5,0.0,0.0,999.0,85.65555555555557,-0.191,0.015,3.28,2,11,0.0,1,1,1,1,1
17,-0.0099,0.0073999999999999995,-0.20580000000000004,85.6,0.0,0.0,999.0,85.51111111111112,-0.853,-0.002,3.456,2,11,0.0,1,1,1,1,1
18,-0.0162,-0.0095,0.10681999999999998,85.2,-1.0,1.0,999.0,85.55555555555557,0.916,0.297,3.486,3,11,0.0,1,1,1,1,1
19,-0.0022999999999999995,-0.006999999999999999,0.18816000000000002,86.0,0.0,1.0,999.0,85.37777777777778,0.93,0.244,3.308,1,11,0.0,1,1,1,1,1
20,-0.0042000000000000015,0.0021,-0.27048,87.2,0.0,1.0,9.92,86.15,0.917,0.011,3.248,2,11,1.0,1,1,1,1,1
21,-0.0052,-0.0013000000000000004,-0.11368,87.0,0.0,1.0,10.81,87.15555555555557,0.709,0.089,3.268,2,11,1.0,1,1,1,1,1
22,-0.0079,-0.011,-0.04508000000000001,86.8,0.0,1.0,12.96,86.975,0.502,0.051,3.408,2,11,1.0,1,1,1,1,1
23,-0.007400000000000001,-0.015799999999999998,0.019599999999999996,86.6,0.0,1.0,15.08,86.77777777777777,0.517,0.02,3.369,0,11,1.0,1,1,1,1,1
24,-0.020200000000000003,-0.010199999999999999,-0.20188,86.4,0.0,2.0,16.35,86.55555555555556,0.532,0.138,3.838,2,11,1.0,1,1,1,1,1
25,-0.004,-0.0182,0.14504000000000003,84.9,0.0,2.0,17.1,86.06666666666666,0.533,0.088,3.521,1,11,1.0,1,1,1,1,1
